chr,start,end,n,meanDiff,group1.mean,group2.mean,tstat.sd,direction,fwer
chr1,44497352,44497393,3,0.254801703,0.62135251,0.366550808,0.055956952,hyper,0
chr12,125312623,125312959,9,-0.254627933,0.582309055,0.836936988,0.052053973,hypo,0
chr15,57178687,57178899,5,0.254617048,0.611856197,0.357239149,0.057712645,hyper,0
chr10,11318384,11318591,3,0.254430781,0.701086139,0.446655358,0.055837014,hyper,0
chr3,187486418,187486630,3,0.254210919,0.670998391,0.416787472,0.059009843,hyper,0
chr3,128278411,128278803,11,0.253874562,0.495260455,0.241385893,0.0616859,hyper,0
chr13,113407756,113407824,5,0.253468836,0.533176247,0.279707411,0.057259749,hyper,0
chr11,77750885,77751282,6,0.25258822,0.639154634,0.386566414,0.062513679,hyper,0
chr3,128417792,128417935,4,0.25179534,0.417693989,0.165898649,0.066902668,hyper,0
chr17,3493546,3493703,11,0.251565202,0.377973605,0.126408403,0.061934092,hyper,0
chr8,140945582,140945895,11,0.251401521,0.51874053,0.267339009,0.080220547,hyper,0
chr2,148603842,148604230,8,0.250498009,0.417887329,0.167389319,0.056008808,hyper,0
chr21,44528876,44528919,3,0.249998648,0.394936197,0.144937549,0.054857309,hyper,0
chr7,63642446,63642457,3,0.249695012,0.544214773,0.294519761,0.067720359,hyper,0
chr17,27043985,27044213,8,0.249115352,0.728308653,0.479193301,0.059250845,hyper,0
chr17,18265880,18265933,4,0.249106551,0.813764114,0.564657563,0.060429462,hyper,0
chr17,30244019,30244080,6,0.249019296,0.639542547,0.39052325,0.075312385,hyper,0
chr13,21278810,21278949,6,0.248510941,0.623086431,0.37457549,0.057393609,hyper,0
chr5,80490659,80491148,27,0.247399604,0.415911876,0.168512271,0.070128237,hyper,0
chr7,56175257,56175794,6,0.246980579,0.658771177,0.411790598,0.055516143,hyper,0
chr19,6362510,6362664,5,0.246820439,0.54813489,0.301314451,0.065248019,hyper,0
chr17,7163889,7164231,8,0.245718984,0.578875351,0.333156367,0.058024982,hyper,0
chr9,133587672,133587753,3,0.245644464,0.501705456,0.256060992,0.054706917,hyper,0
chr6,43138055,43138185,7,0.245639521,0.492716502,0.247076981,0.055886961,hyper,0
chr15,55727241,55727945,6,0.245432073,0.682394758,0.436962686,0.061164883,hyper,0
chr16,67433267,67433623,12,0.245284909,0.54419639,0.298911481,0.067356609,hyper,0
chr6,134495976,134496043,9,0.244654816,0.254171323,0.009516508,0.082889508,hyper,0
chr19,3343995,3344206,7,0.244537705,0.611038381,0.366500675,0.0672741,hyper,0
chr1,248100276,248101031,19,0.244529161,0.31677034,0.072241179,0.08171389,hyper,0
chr7,1603861,1603941,6,0.244432211,0.740664728,0.496232517,0.064977857,hyper,0
chr19,39140191,39140366,4,0.244219448,0.460305127,0.216085679,0.062696022,hyper,0
chr14,24838289,24838342,5,0.244005741,0.418508031,0.17450229,0.069440355,hyper,0
chr9,133798270,133798542,6,0.243130359,0.784400491,0.541270132,0.06682155,hyper,0
chr20,44541142,44541248,3,0.24263914,0.653320285,0.410681145,0.060377861,hyper,0
chr2,241772293,241772465,3,0.242611482,0.703420179,0.460808697,0.05655164,hyper,0
chr2,65244718,65245339,14,0.242559019,0.527872792,0.285313773,0.054424295,hyper,0
chr21,43493345,43493731,13,0.242363296,0.541128031,0.298764735,0.062144418,hyper,0
chr20,35286570,35286925,4,0.242109348,0.726319592,0.484210245,0.055148629,hyper,0
chr7,17313985,17314835,8,0.242102095,0.635331911,0.393229816,0.054905198,hyper,0
chr17,48424426,48424657,6,0.241905014,0.478308587,0.236403572,0.057582842,hyper,0
chr10,4229649,4229952,8,0.241672946,0.601067367,0.359394422,0.062719055,hyper,0
chr15,30336522,30337124,8,0.241337356,0.750070101,0.508732745,0.061614581,hyper,0
chr1,29111481,29112285,20,0.241134154,0.351920678,0.110786524,0.075262168,hyper,0
chr7,121078488,121078666,5,0.240987644,0.554390039,0.313402395,0.061117353,hyper,0
chr5,171633978,171634263,3,0.240827919,0.647721137,0.406893218,0.053849083,hyper,0
chr1,154598886,154599157,3,0.240248415,0.732794153,0.492545738,0.055378415,hyper,0
chr19,18888532,18888884,17,0.240125244,0.741235342,0.501110099,0.061946787,hyper,0
chr17,46696867,46696925,4,0.240085988,0.316196933,0.076110945,0.061336848,hyper,0
chr3,150948710,150948814,3,0.239670519,0.474949352,0.235278834,0.069867945,hyper,0
chr9,15286410,15286689,4,0.239191733,0.632902709,0.393710975,0.05505804,hyper,0
chr16,4140235,4140913,14,0.238702208,0.442176976,0.203474769,0.055588944,hyper,0
chr20,30777435,30777598,8,0.238459492,0.596646718,0.358187226,0.063364794,hyper,0
chr2,233740532,233740611,4,0.237391649,0.297875594,0.060483945,0.060516711,hyper,0
chr8,58192719,58192974,8,0.237283563,0.733770781,0.496487217,0.070357436,hyper,0
chr2,232186450,232186920,15,0.236436522,0.405862326,0.169425803,0.057615008,hyper,0
chr6,170532370,170533113,21,0.236179794,0.483948902,0.247769108,0.067459105,hyper,0
chr5,94957269,94957737,8,0.2358284,0.416069875,0.180241475,0.054320594,hyper,0
chr16,87540901,87541264,12,0.235683902,0.440915594,0.205231693,0.069091844,hyper,0
chr1,86042017,86042106,5,0.235492548,0.340210875,0.104718327,0.058863701,hyper,0
chr14,90190788,90190952,5,0.235045376,0.52972371,0.294678334,0.064467406,hyper,0
chr21,34405670,34405937,5,0.234602955,0.529954863,0.295351908,0.070462838,hyper,0
chr19,45193045,45193092,3,0.23374642,0.775444798,0.541698378,0.066544754,hyper,0
chr19,14584830,14584883,5,0.233027984,0.371589828,0.138561844,0.067354981,hyper,0
chr9,116385533,116385739,5,0.232798405,0.573627619,0.340829214,0.064097168,hyper,0
chr20,60982717,60982976,3,0.232585408,0.663554084,0.430968676,0.069206555,hyper,0
chr6,13860678,13861196,11,0.231317225,0.651453642,0.420136417,0.063817661,hyper,0
chr1,233749230,233749451,9,0.231263655,0.338870293,0.107606638,0.067081106,hyper,0
chr1,206246850,206247364,10,0.23088691,0.670053126,0.439166216,0.05896596,hyper,0
chr1,236958161,236958171,3,0.230806801,0.315608839,0.084802039,0.058447878,hyper,0
chr1,182922034,182922389,11,0.230765884,0.392195689,0.161429805,0.079768078,hyper,0
chr8,8897644,8898013,8,0.230726586,0.67039964,0.439673053,0.059800533,hyper,0
chr5,16556036,16556661,16,0.230535602,0.583899328,0.353363726,0.069021833,hyper,0
chr5,176080580,176080662,4,0.230342287,0.565731394,0.335389106,0.062534854,hyper,0
chr17,53500832,53500923,3,0.230294915,0.774383666,0.544088751,0.062844322,hyper,0
chr10,42862711,42863094,9,0.229795686,0.374028059,0.144232373,0.098555218,hyper,0
chr1,35545686,35545747,3,0.229541507,0.560408153,0.330866646,0.056628391,hyper,0
chr12,132381540,132381937,18,0.229520869,0.596582031,0.367061161,0.053813603,hyper,0
chr22,50528179,50528450,15,0.228824497,0.661677484,0.432852987,0.062817862,hyper,0
chr2,177503499,177503856,13,0.228726699,0.483424548,0.254697849,0.057931967,hyper,0
chr21,30396437,30396479,3,0.22869733,0.700136905,0.471439575,0.056501993,hyper,0
chr1,51444959,51445246,3,0.228402247,0.53866453,0.310262284,0.056505797,hyper,0
chr5,169011732,169011945,11,0.228394397,0.82428613,0.595891732,0.056046869,hyper,0
chr8,145128997,145129079,3,0.228026962,0.630985915,0.402958952,0.063536095,hyper,0
chr3,107810542,107810678,3,0.227888373,0.645530763,0.41764239,0.07062723,hyper,0
chr4,155547807,155548314,21,0.227402453,0.319433982,0.092031529,0.080877356,hyper,0
chr8,142183305,142183466,3,0.227298186,0.704423152,0.477124966,0.063091462,hyper,0
chr12,64215522,64215942,13,0.227275233,0.509033922,0.281758689,0.076891659,hyper,0
chr10,105110053,105110152,9,0.227135584,0.704694896,0.477559313,0.057952397,hyper,0
chr2,8977778,8977835,5,0.227124854,0.282094987,0.054970133,0.054654138,hyper,0
chr7,138402745,138402930,6,0.226968846,0.446218449,0.219249603,0.061816739,hyper,0
chr9,34647483,34647527,3,0.226557642,0.293510238,0.066952596,0.062448865,hyper,0
chr13,114927203,114927265,6,0.226304903,0.369550882,0.143245979,0.063813446,hyper,0
chr15,100466383,100466486,3,0.226112567,0.349571128,0.123458561,0.073320443,hyper,0
chr10,104687453,104687706,8,0.225973741,0.693537528,0.467563786,0.061087637,hyper,0
chr1,39875541,39875610,4,0.225848251,0.610346532,0.38449828,0.054689671,hyper,0
chr8,144938212,144938881,11,0.225724329,0.384730738,0.159006408,0.057077112,hyper,0
chr1,166889859,166890094,13,0.225434931,0.29408612,0.068651189,0.083225795,hyper,0
chr19,19368937,19368995,12,0.225180511,0.801510255,0.576329743,0.077850429,hyper,0
chr2,171573295,171573730,7,0.224843313,0.311469262,0.086625949,0.065231055,hyper,0
chr2,60962983,60963525,12,0.224819293,0.324051439,0.099232146,0.073865061,hyper,0
chr4,184320529,184320951,17,0.224227502,0.683687119,0.459459617,0.065664903,hyper,0
chr10,27608675,27609069,19,0.224100144,0.401767451,0.177667307,0.068103967,hyper,0
chr10,75346583,75347149,10,0.223973229,0.73405134,0.51007811,0.054936902,hyper,0
chr8,146229062,146229127,6,0.22393826,0.533710804,0.309772544,0.060820485,hyper,0
chr12,44198987,44199098,3,0.223447315,0.635258104,0.411810789,0.055063952,hyper,0
chr6,36551578,36551649,8,0.223305492,0.716842467,0.493536974,0.054476053,hyper,0
chr12,65514747,65515553,14,0.222944244,0.279790371,0.056846127,0.087783594,hyper,0
chr12,111053316,111053734,6,0.22280626,0.594495494,0.371689234,0.060762675,hyper,0
chr5,31598883,31599230,3,0.222768529,0.817432141,0.594663612,0.054018562,hyper,0
chr3,172165264,172165708,18,0.222737178,0.378913647,0.156176469,0.089305535,hyper,0
chr2,39187802,39187888,8,0.222703783,0.434327124,0.211623341,0.056855059,hyper,0
chr14,76734058,76734525,12,0.222661578,0.424281575,0.201619997,0.078633852,hyper,0
chr14,69436853,69437386,9,0.222314528,0.569950783,0.347636255,0.057563721,hyper,0
chr3,156543469,156543532,3,0.222290783,0.576412262,0.354121478,0.059915644,hyper,0
chr10,63627179,63627352,5,0.221634431,0.634899805,0.413265374,0.063891724,hyper,0
chr1,232766959,232767194,3,0.220613574,0.647197621,0.426584046,0.062083415,hyper,0
chr1,27004355,27004387,4,0.220522775,0.459864755,0.23934198,0.062459518,hyper,0
chr10,115805676,115805760,4,0.220520093,0.459383397,0.238863304,0.064015164,hyper,0
chr11,68517774,68517864,6,0.219951828,0.429755886,0.209804058,0.071425034,hyper,0
chr12,9216898,9217281,18,0.219321568,0.276480503,0.057158936,0.098615653,hyper,0
chr7,139941774,139942348,4,0.219214415,0.627365342,0.408150927,0.063704162,hyper,0
chr16,31830518,31830791,18,0.218710868,0.410715519,0.192004651,0.090473234,hyper,0
chr6,132700055,132700138,3,0.218681187,0.756363088,0.537681901,0.055745821,hyper,0
chr5,133375176,133375457,13,0.2185599,0.5335868,0.3150269,0.066952096,hyper,0
chr18,46262178,46262249,3,0.218412951,0.812510899,0.594097949,0.064063991,hyper,0
chr10,52499888,52500124,4,0.218304523,0.244787162,0.026482639,0.066154164,hyper,0
chr20,44421481,44421751,4,0.218057219,0.467891728,0.249834509,0.065999174,hyper,0
chr7,73183249,73183576,18,0.217391511,0.446308322,0.22891681,0.070039204,hyper,0
chr12,49552238,49552373,5,0.217041602,0.774869163,0.557827561,0.057215465,hyper,0
chr10,98977103,98977250,3,0.216580511,0.480478631,0.26389812,0.057839603,hyper,0
chr9,115652488,115652982,17,0.216329439,0.39672602,0.180396581,0.073953046,hyper,0
chr2,151342444,151342764,16,0.216310079,0.247093255,0.030783176,0.073560392,hyper,0
chr3,122786895,122786925,3,0.216281063,0.495885301,0.279604238,0.052229552,hyper,0
chr7,6703933,6704194,7,0.215664978,0.314391998,0.09872702,0.061086109,hyper,0
chr15,77819774,77820022,8,0.21544376,0.532267937,0.316824177,0.070985739,hyper,0
chr1,247802555,247803297,38,0.215415671,0.536447734,0.321032063,0.11018724,hyper,0
chr7,23287367,23287761,31,0.215283454,0.282790451,0.067506997,0.085723942,hyper,0
chr13,97646120,97646897,23,0.214907255,0.262861605,0.04795435,0.092358052,hyper,0
chr15,48938766,48938924,5,0.214834906,0.772212572,0.557377666,0.053196121,hyper,0
chr9,103236534,103236614,7,0.214548059,0.354988984,0.140440924,0.064403883,hyper,0
chr19,11354240,11354361,6,0.214538078,0.371904007,0.157365929,0.060575904,hyper,0
chr10,43616355,43616646,4,0.214496,0.390157334,0.175661334,0.060388288,hyper,0
chr17,40566327,40566710,4,0.214428434,0.556943831,0.342515397,0.057540796,hyper,0
chr9,38487603,38487644,6,0.214309821,0.751180781,0.53687096,0.064451901,hyper,0
chr14,106134570,106134648,5,0.214282765,0.494651773,0.280369008,0.06752285,hyper,0
chr1,234998766,234999052,12,0.214242165,0.702587649,0.488345484,0.055315942,hyper,0
chr18,14748082,14748250,7,0.214067148,0.398895865,0.184828717,0.065838366,hyper,0
chr19,52055528,52055814,3,0.214062118,0.425760927,0.211698809,0.070214957,hyper,0
chr3,161088862,161088943,3,0.213790111,0.479496514,0.265706403,0.060024803,hyper,0
chr2,100747482,100747739,3,0.213514499,0.522281244,0.308766745,0.062901489,hyper,0
chr13,111191084,111191309,4,0.2131277,0.681987874,0.468860174,0.06467853,hyper,0
chr2,65612167,65612565,8,0.21304194,0.782942241,0.5699003,0.061348606,hyper,0
chr3,72676479,72676745,4,0.212640522,0.664655828,0.452015306,0.058768143,hyper,0
chr8,145069073,145069248,7,0.212556986,0.356640502,0.144083516,0.064252175,hyper,0
chr16,84875390,84875771,15,0.211937439,0.408281575,0.196344136,0.067980982,hyper,0
chr11,66326570,66326669,8,0.211709468,0.53570329,0.323993822,0.075901052,hyper,0
chr15,93652578,93653217,22,0.211689643,0.382091948,0.170402304,0.069531782,hyper,0
chr1,59041625,59041850,9,0.211682486,0.470442981,0.258760495,0.055896408,hyper,0
chr4,3365384,3365775,10,0.211177208,0.600267754,0.389090546,0.055562778,hyper,0
chr8,67664422,67664535,4,0.211071104,0.629846889,0.418775785,0.061691898,hyper,0
chr1,234999387,234999467,5,0.210950426,0.756288058,0.545337632,0.055388152,hyper,0
chr9,137107533,137107945,18,0.210858688,0.559890896,0.349032208,0.070082239,hyper,0
chr19,38396943,38397036,6,0.210849133,0.323494765,0.112645632,0.057672701,hyper,0
chr1,240656063,240656650,24,0.209700743,0.539609151,0.329908408,0.097896663,hyper,0
chr1,109676618,109677325,10,0.209623971,0.657734217,0.448110246,0.056461476,hyper,0
chr14,52311308,52312418,14,0.209561963,0.384291477,0.174729514,0.052315424,hyper,0
chr9,104211406,104211642,15,0.209317254,0.398332911,0.189015657,0.086573744,hyper,0
chr20,57767117,57767174,6,0.209179427,0.757660403,0.548480977,0.065934411,hyper,0
chr12,48336614,48336840,6,0.209170378,0.744338771,0.535168393,0.057088067,hyper,0
chr8,125385387,125385639,9,0.208707878,0.279011316,0.070303438,0.061249915,hyper,0
chr6,109159251,109159433,9,0.208682142,0.523911957,0.315229815,0.065307903,hyper,0
chr12,213764,214000,19,0.208676781,0.534433748,0.325756967,0.08280718,hyper,0
chr5,139167984,139168029,7,0.208326479,0.37015408,0.161827601,0.064072715,hyper,0
chr20,62129426,62129438,3,0.208001959,0.587621923,0.379619964,0.069302868,hyper,0
chr9,139886152,139886289,6,0.20797121,0.608215653,0.400244443,0.061104789,hyper,0
chr7,101331271,101331580,3,0.207819723,0.421372305,0.213552582,0.073534332,hyper,0
chr3,195583267,195583607,9,0.207630044,0.700595834,0.492965791,0.057166206,hyper,0
chr3,38538611,38538715,3,0.207625494,0.79255967,0.584934177,0.052918896,hyper,0
chr3,47830088,47830176,3,0.207285635,0.640680801,0.433395166,0.057163691,hyper,0
chr17,7894049,7894181,6,0.207249412,0.473199784,0.265950372,0.067979521,hyper,0
chr19,52056455,52056722,9,0.207156895,0.537576256,0.330419362,0.069434252,hyper,0
chr2,237122742,237123040,9,0.207139388,0.581284281,0.374144893,0.068147306,hyper,0
chr5,35617516,35618593,45,0.207042758,0.240950069,0.033907311,0.096408662,hyper,0
chr2,85956191,85956729,17,0.206912076,0.527054529,0.320142454,0.058633645,hyper,0
chr15,77861848,77862363,15,0.206905902,0.454870451,0.24796455,0.067689748,hyper,0
chr8,101735528,101735630,5,0.206669921,0.588015718,0.381345797,0.057880896,hyper,0
chr1,52083544,52083663,3,0.206648042,0.456786557,0.250138515,0.055251193,hyper,0
chr6,109760888,109761238,8,0.206603173,0.536289194,0.329686021,0.053941695,hyper,0
chr6,44043043,44043192,4,0.206599567,0.650930658,0.444331091,0.062388733,hyper,0
chr14,23981563,23982020,8,0.206416483,0.765002515,0.558586032,0.056875483,hyper,0
chr11,132951861,132951920,4,0.206000503,0.451093677,0.245093174,0.06616736,hyper,0
chr6,143234024,143234279,3,0.205992343,0.413695843,0.207703501,0.065605022,hyper,0
chr8,23038390,23038876,5,0.205978285,0.437694661,0.231716377,0.05874347,hyper,0
chr15,65368840,65369137,8,0.205961249,0.647273025,0.441311775,0.058468766,hyper,0
chr7,134670693,134670863,5,0.205393273,0.763089768,0.557696496,0.058488174,hyper,0
chr1,24246318,24246602,7,0.205345934,0.425465231,0.220119297,0.058967914,hyper,0
chr14,74003780,74003820,4,0.205269751,0.522452784,0.317183033,0.067940195,hyper,0
chr12,77404647,77404992,9,0.205092309,0.486150479,0.28105817,0.055718387,hyper,0
chr7,95225504,95225522,3,0.204950394,0.263746952,0.058796558,0.074352613,hyper,0
chr9,132333082,132333371,6,0.204435711,0.790740272,0.586304561,0.064514609,hyper,0
chr4,77172251,77172588,8,0.204297266,0.274288916,0.06999165,0.068525866,hyper,0
chr18,3037558,3037629,3,0.204227329,0.73535852,0.531131191,0.057155631,hyper,0
chr9,101946968,101947250,9,0.204168428,0.418830949,0.214662521,0.067430186,hyper,0
chr15,90293081,90293261,5,0.204071956,0.364203173,0.160131217,0.057592879,hyper,0
chr12,108168071,108168752,16,0.203783733,0.521041629,0.317257895,0.059100261,hyper,0
chr4,169753319,169753665,11,0.203369736,0.210706603,0.007336867,0.084071873,hyper,0
chr1,94704385,94704798,4,0.203260113,0.648951433,0.44569132,0.058889247,hyper,0
chr12,2901611,2902093,11,0.20311061,0.55467079,0.35156018,0.057061878,hyper,0
chr8,146226995,146227022,3,0.202984793,0.565571525,0.362586732,0.05910412,hyper,0
chr11,76777078,76777145,6,0.202900559,0.345326015,0.142425456,0.082302434,hyper,0
chr7,86850688,86850808,3,0.202773628,0.727536837,0.52476321,0.056974363,hyper,0
chr9,104210921,104211079,4,0.202728196,0.434346657,0.231618461,0.08512851,hyper,0
chr12,123427830,123428056,12,0.202456776,0.776884317,0.57442754,0.05937518,hyper,0
chr11,33823942,33824320,12,0.202437445,0.448902872,0.246465427,0.076122505,hyper,0
chr12,117797915,117798391,22,0.202378435,0.329554547,0.127176112,0.096882096,hyper,0
chr3,32860440,32860467,3,0.201781446,0.412305853,0.210524407,0.052755236,hyper,0
chr16,31438863,31439113,17,0.201553997,0.465035594,0.263481597,0.079374296,hyper,0
chr17,20009001,20009419,6,0.201347681,0.805338249,0.603990568,0.056747438,hyper,0
chr10,134957633,134957667,5,0.201136725,0.510729204,0.309592479,0.083980524,hyper,0
chr5,81146672,81146787,3,0.201081313,0.580579539,0.379498226,0.056074283,hyper,0
chr16,71475335,71475392,7,0.200874388,0.691826553,0.490952165,0.061313215,hyper,0
chr10,88125311,88125377,5,0.199969959,0.241521471,0.041551512,0.074117428,hyper,0
chr3,188015983,188016569,8,0.199643214,0.690196512,0.490553298,0.070907168,hyper,0
chr12,14707507,14707841,5,0.199468571,0.59797887,0.398510299,0.060559705,hyper,0
chr16,68532759,68533402,12,0.199459294,0.693556292,0.494096999,0.056075008,hyper,0
chr17,79140589,79140788,6,0.199421705,0.708449615,0.509027911,0.063822291,hyper,0
chr1,116519576,116519947,9,0.199321661,0.600103141,0.40078148,0.072181744,hyper,0
chr1,114695261,114695710,22,0.199240736,0.232360609,0.033119874,0.09434648,hyper,0
chr12,114029465,114029865,23,0.19918117,0.28349242,0.08431125,0.089890216,hyper,0
chrX,54523075,54523353,3,0.198928667,0.772675564,0.573746898,0.079495796,hyper,0
chr2,1711759,1711885,5,0.198831656,0.484499652,0.285667996,0.088974826,hyper,0
chr20,58662205,58662521,8,0.198600413,0.481407055,0.282806642,0.066107503,hyper,0
chr9,15135137,15135635,13,0.198563106,0.469373991,0.270810885,0.069207274,hyper,0
chr7,140356547,140356777,3,0.198476646,0.760592852,0.562116207,0.05645505,hyper,0
chr16,49888475,49888606,3,0.19805035,0.487393109,0.289342759,0.061825822,hyper,0
chr6,42869049,42869507,7,0.198028134,0.27868818,0.080660046,0.063157708,hyper,0
chr12,52115548,52116013,19,0.19766925,0.320686845,0.123017595,0.063859163,hyper,0
chr6,74024484,74025038,40,0.197660978,0.298383289,0.100722311,0.058806795,hyper,0
chr1,227012696,227012853,4,0.197342,0.506926774,0.309584774,0.058883995,hyper,0
chr3,152939400,152940268,15,0.197319546,0.462417606,0.26509806,0.055047201,hyper,0
chr11,85393922,85394123,10,0.197086429,0.430575442,0.233489013,0.087539786,hyper,0
chr6,21664647,21664825,8,0.19694893,0.311528388,0.114579457,0.086158632,hyper,0
chr1,94056946,94057869,15,0.196564699,0.525886216,0.329321516,0.068001095,hyper,0
chr12,132950460,132950832,8,0.196494351,0.608711176,0.412216825,0.05785545,hyper,0
chr8,140741558,140742127,7,0.196122121,0.519748992,0.323626871,0.068929442,hyper,0
chr6,156609549,156610158,13,0.195542555,0.488453364,0.29291081,0.059123938,hyper,0
chr7,968800,968820,3,0.195413444,0.724955742,0.529542298,0.062144289,hyper,0
chr2,85662285,85662382,5,0.195396537,0.60050604,0.405109503,0.067238461,hyper,0
chr8,37757729,37757750,3,0.19518667,0.695043789,0.499857118,0.066992482,hyper,0
chr1,108023083,108023636,18,0.195132784,0.414360436,0.219227652,0.062964658,hyper,0
chr1,167423737,167423821,4,0.195029871,0.782461087,0.587431215,0.055553657,hyper,0
chr5,65163628,65163945,11,0.194481182,0.68857869,0.494097508,0.053533583,hyper,0
chr2,15282328,15283019,15,0.194472827,0.43553399,0.241061163,0.061925852,hyper,0
chr15,83377549,83377771,8,0.194408891,0.609905708,0.415496817,0.056265962,hyper,0
chr1,95393305,95393403,4,0.193861223,0.399830727,0.205969504,0.061176781,hyper,0
chr3,57113627,57113639,3,0.19382585,0.290333841,0.09650799,0.060566773,hyper,0
chr4,169799622,169799727,6,0.1937914,0.385697412,0.191906012,0.071679727,hyper,0
chr3,27674500,27674855,13,0.193625197,0.205978823,0.012353626,0.070984478,hyper,0
chr21,45254546,45254551,3,0.193459575,0.387755708,0.194296133,0.063472632,hyper,0
chr2,233793729,233793949,12,0.193248721,0.646430601,0.45318188,0.070276451,hyper,0
chr15,62684546,62685053,12,0.193183808,0.375494278,0.182310469,0.05971084,hyper,0
chr7,100841494,100841749,6,0.193140024,0.757917487,0.564777462,0.067414902,hyper,0
chr1,2250525,2250580,4,0.19280179,0.505571379,0.312769589,0.063195274,hyper,0
chr6,40996788,40996842,3,0.192717938,0.463164695,0.270446757,0.056964565,hyper,0
chr5,109026772,109027000,11,0.19258532,0.216028253,0.023442933,0.078151036,hyper,0
chr6,43111292,43111652,8,0.192497884,0.474816729,0.282318845,0.078456307,hyper,0
chr8,141169921,141170206,9,0.192361855,0.37063427,0.178272415,0.056991908,hyper,0
chr10,30347376,30347966,21,0.192226016,0.394293369,0.202067353,0.07574325,hyper,0
chr5,175123370,175123830,9,0.192055197,0.453380324,0.261325127,0.077958467,hyper,0
chr4,7104248,7104589,9,0.191847442,0.687555279,0.495707837,0.059696208,hyper,0
chr13,27751647,27751723,4,0.191478198,0.554365982,0.362887784,0.054926744,hyper,0
chr9,25677322,25677561,10,0.191004612,0.346805181,0.155800569,0.055082813,hyper,0
chr5,151038700,151039338,9,0.190791748,0.695735678,0.50494393,0.058677923,hyper,0
chr5,42944028,42944510,20,0.190666947,0.393990636,0.203323689,0.057218727,hyper,0
chr1,165796253,165796334,4,0.190565934,0.318503395,0.127937461,0.055419414,hyper,0
chr3,50605581,50605924,13,0.190296105,0.737238347,0.546942242,0.056057789,hyper,0
chr10,80166590,80167921,29,0.190212624,0.446465709,0.256253085,0.079495353,hyper,0
chr1,168104979,168105079,5,0.190034417,0.328406471,0.138372053,0.062639473,hyper,0
chr4,40752746,40752972,13,0.189286634,0.377229827,0.187943193,0.05861963,hyper,0
chr6,166510646,166511686,29,0.189279044,0.512165265,0.322886221,0.082054184,hyper,0
chr2,214149526,214149743,4,0.189219077,0.443342722,0.254123645,0.058359232,hyper,0
chr10,99532138,99532174,3,0.189165845,0.43032698,0.241161135,0.058584585,hyper,0
chr11,14403303,14403420,3,0.189100244,0.702003335,0.512903091,0.060919233,hyper,0
chr2,220306036,220306308,18,0.188934391,0.327047818,0.138113427,0.071262813,hyper,0
chr2,96781700,96781838,6,0.188753695,0.550061069,0.361307374,0.062494113,hyper,0
chr1,211689280,211689285,3,0.188678673,0.486591325,0.297912652,0.060206098,hyper,0
chr8,134295339,134295669,7,0.188081372,0.483736715,0.295655342,0.06200566,hyper,0
chr3,193690087,193690460,5,0.188011035,0.773516845,0.58550581,0.065486528,hyper,0
chr9,133884426,133884701,12,0.18788394,0.269164218,0.081280277,0.082006251,hyper,0
chr9,86886141,86886992,30,0.18783566,0.315985861,0.128150201,0.068947857,hyper,0
chr2,88583534,88584025,23,0.187788058,0.565505233,0.377717175,0.070886942,hyper,0
chr9,137258216,137258396,6,0.187782822,0.538982507,0.351199685,0.061445238,hyper,0
chr12,129453418,129453631,6,0.187675883,0.435874409,0.248198526,0.058493055,hyper,0
chr2,182521222,182521304,6,0.187644252,0.311297029,0.123652777,0.075172066,hyper,0
chr9,139026004,139026244,6,0.187522759,0.638836702,0.451313943,0.069583166,hyper,0
chr14,70014632,70014992,23,0.187258143,0.277979627,0.090721484,0.086151126,hyper,0
chr7,128482207,128482491,10,0.187248631,0.523015831,0.335767199,0.061310284,hyper,0
chr13,110384182,110384516,16,0.187103677,0.443817313,0.256713636,0.072848193,hyper,0
chr4,1601535,1601586,3,0.18707375,0.503976778,0.316903028,0.069047572,hyper,0
chr6,52858957,52859159,12,0.187009808,0.502056996,0.315047188,0.060639504,hyper,0
chr10,4868796,4868990,6,0.186932073,0.255718052,0.068785978,0.099155022,hyper,0
chr7,64350351,64350510,6,0.186841995,0.491010089,0.304168095,0.06103284,hyper,0
chr6,119030542,119030842,7,0.186525515,0.334392661,0.147867146,0.059448271,hyper,0
chr18,8730558,8730893,13,0.186379609,0.447967485,0.261587876,0.072081704,hyper,0
chr9,132124542,132124720,5,0.186067838,0.410152794,0.224084957,0.054927697,hyper,0
chr5,66300900,66301480,10,0.185777102,0.278357109,0.092580007,0.072077655,hyper,0
chr1,230889345,230890175,10,0.185748442,0.495102159,0.309353717,0.062134243,hyper,0
chr3,44559612,44560085,9,0.185712196,0.515137387,0.329425191,0.063957715,hyper,0
chr5,65163086,65163304,5,0.185682933,0.613555372,0.42787244,0.053533583,hyper,0
chr21,42213393,42214149,34,0.185665622,0.277339678,0.091674056,0.085018367,hyper,0
chr5,32504652,32505493,12,0.185649101,0.409270247,0.223621146,0.057372289,hyper,0
chr20,49252321,49253001,16,0.18556237,0.624388237,0.438825867,0.059687731,hyper,0
chr2,95873657,95873764,5,0.18549808,0.353417545,0.167919465,0.054835305,hyper,0
chr3,138654672,138654730,5,0.184997874,0.374379182,0.189381308,0.062992529,hyper,0
chr17,37183033,37183787,12,0.184859079,0.286210022,0.101350944,0.070198396,hyper,0
chr12,26379824,26380330,34,0.184746397,0.287698347,0.10295195,0.084027549,hyper,0
chr9,137039185,137039506,8,0.184708209,0.358423171,0.173714962,0.063834917,hyper,0
